SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,2,1,15,7,6,3,2,1,,1,,1,,,,,,,,,,,,
HREC,2,1,16,8,6,2,2,2,1,3,,,,,,,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,CarPac,LupBic,DaucPusil,GalPar,Bare,LatSph,Wood,EroCic,TriCil,,,,,,,
HREC,2,1,1,1,7,2,2,1,,,,,,,,,,,,,,,,
HREC,2,1,2,2,7,2,1,2,,,,,,,,,,,,,,,,
HREC,2,1,3,3,7,2,2,2,,,1,,,,,,,,,,,,,
HREC,2,1,4,4,7,3,3,3,,,1,1,,,,,,,,,,,,
HREC,2,1,5,5,7,2,1,2,,,1,1,3,,,,,,,,,,,
HREC,2,1,6,6,7,2,,4,,,,1,,,,,,,,,,,,
HREC,2,1,7,7,7,2,2,3,,2,,,15,1,15,,,,,,,,,
HREC,2,1,8,8,7,2,2,2,2,2,,,,1,,,,,,,,,,
HREC,2,1,9,1,8,1,2,2,,2,,,,,,,,,,,,,,
HREC,2,1,10,2,8,1,1,3,,,,1,,,,,,,,,,,,
HREC,2,1,11,3,8,2,2,2,2,2,,1,,,,1,,,,,,,,
HREC,2,1,12,4,8,2,2,1,,2,1,,,,,,,,,,,,,
HREC,2,1,13,5,8,1,2,1,,,2,,,,,,,,,,,,,
HREC,2,1,14,6,8,2,2,3,2,2,1,,,,,,1,,,,,,,
HREC,2,1,15,7,8,2,1,3,,,,,,,,,,,,,,,,
HREC,2,1,16,8,8,2,2,2,,1,,1,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,GalPar,AgoHet,SanBip,LupBic,Bare,LatSph,AnaArv,DicCap,EroCic,LotMic,Torilis,HypGla,,,,,,
HREC,3,1,1,1,1,2,1,6,,,,,,,,,,,,,,,,
HREC,3,1,2,2,1,2,1,6,2,,,,,,,,,,,,,,,
HREC,3,1,3,3,1,2,1,6,,2,3,1,1,,,,,,,,,,,
HREC,3,1,4,4,1,2,1,6,2,1,,,1,,,,,,,,,,,
HREC,3,1,5,5,1,3,,6,,1,,,,,,,,,,,,,,
HREC,3,1,6,6,1,1,1,3,,,,,,,,,,,,,,,,
HREC,3,1,7,7,1,2,1,5,,2,,,,,,,,,,,,,,
HREC,3,1,8,8,1,2,1,6,,3,5,,,,,,,,,,,,,
HREC,3,1,9,1,2,3,,6,,,,,1,2,1,1,,,,,,,,
HREC,3,1,10,2,2,2,,6,,1,,,1,,,1,,,,,,,,
HREC,3,1,11,3,2,2,,6,,2,,,1,,,,,,,,,,,
HREC,3,1,12,4,2,2,1,6,,1,,,,1,1,,,,,,,,,
HREC,3,1,13,5,2,3,,5,,2,,,,,,1,,,,,,,,
HREC,3,1,14,6,2,2,,6,,2,,,1,,,,1,,,,,,,
HREC,3,1,15,7,2,2,,7,2,2,,,,1,,,,,,,,,,
HREC,3,1,16,8,2,2,,6,2,2,,,,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,GalPar,AgoHet,LupBic,LotMic,Bare,SanBip,EroCic,LatSph,AnaArv,DicCap,CarPac,GerMol,MicCal,White Owl-Clover,HypGla,SisBel,,
HREC,3,1,1,1,3,2,1,6,2,2,3,2,1,1,,,,,,,,,,
HREC,3,1,2,2,3,2,,7,1,2,,,1,,1,,,,,,,,,
HREC,3,1,3,3,3,3,,7,2,,,,,,,,,,,,,,,
HREC,3,1,4,4,3,2,1,6,,,,,,,,1,,,,,,,,
HREC,3,1,5,5,3,3,1,6,2,,,,1,,,1,1,,,,,,,
HREC,3,1,6,6,3,2,1,5,4,1,,,1,,1,1,,,,,,,,
HREC,3,1,7,7,3,2,1,5,2,,,,,,,,,,,,,,,
HREC,3,1,8,8,3,4,1,6,,,,,,,,,,,,,,,,
HREC,3,1,9,1,4,2,,5,,,5,2,,,1,,,2,,,,,,
HREC,3,1,10,2,4,4,,6,1,,,,1,,,,,,2,,,,,
HREC,3,1,11,3,4,2,,5,2,,,,,1,,2,,1,,,,,,
HREC,3,1,12,4,4,4,1,6,3,,,,,1,,,,,1,1,,,,
HREC,3,1,13,5,4,2,,5,2,,,,,,1,,,,,,,,,
HREC,3,1,14,6,4,2,1,5,1,,,3,,,,2,,,,,1,,,
HREC,3,1,15,7,4,2,,6,2,,,,1,,1,,,,1,1,,2,,
HREC,3,1,16,8,4,2,2,7,2,,,,,,1,2,,,,1,,,,
